,company_name,purpose,anouncement,record_date,ex-date,bc_start_date,bc_end_date,nd_start_date,nd_end_date,actual_payment_date
115,Bombay Burmah,Final DIVIDEND of 60.00,25-06-2020,-,16-07-2020,None,None,None,None,None
116,Clariant Chem,Special DIVIDEND of 0.00,07-07-2020,18-07-2020,16-07-2020,None,None,None,None,None
117,Coromandel Int,Final DIVIDEND of 1200.00,26-05-2020,-,16-07-2020,None,None,None,None,None
118,Grindwell Norto,Final DIVIDEND of 150.00,20-05-2020,-,16-07-2020,None,None,None,None,None
119,IRB Infra,Final DIVIDEND of 50.00,18-06-2020,17-07-2020,16-07-2020,None,None,None,None,None
120,Lakshmi Machine,Final DIVIDEND of 100.00,26-05-2020,-,16-07-2020,None,None,None,None,None
121,M&M,Final DIVIDEND of 47.00,12-06-2020,-,16-07-2020,None,None,None,None,None
122,Piramal Enter,Final DIVIDEND of 700.00,11-05-2020,-,16-07-2020,None,None,None,None,None
123,Tasty Bite,Final DIVIDEND of 20.00,18-05-2020,-,16-07-2020,None,None,None,None,None
124,TCS,Interim DIVIDEND of 500.00,30-06-2020,17-07-2020,16-07-2020,None,None,None,None,None
125,Auto Corp Goa,Final DIVIDEND of 50.00,28-05-2020,-,15-07-2020,None,None,None,None,None
126,Petronet LNG,Final DIVIDEND of 70.00,30-06-2020,16-07-2020,15-07-2020,None,None,None,None,None
127,Suyog Tele,Interim DIVIDEND of 5.00,06-07-2020,16-07-2020,15-07-2020,None,None,None,None,None
128,Wendt,Final DIVIDEND of 250.00,28-05-2020,-,15-07-2020,None,None,None,None,None
129,SKF India,Special DIVIDEND of 1300.00,07-05-2020,-,14-07-2020,None,None,None,None,None
130,Tata Power,Final DIVIDEND of 155.00,19-05-2020,-,14-07-2020,None,None,None,None,None
131,Elantas Beck,Final DIVIDEND of 50.00,25-02-2020,-,13-07-2020,None,None,None,None,None
132,Dr Reddys Labs,Final DIVIDEND of 500.00,20-05-2020,-,13-07-2020,None,None,None,None,None
133,Tata Elxsi,Final DIVIDEND of 165.00,20-04-2020,-,13-07-2020,None,None,None,None,None
134,Wires and Fabri,Final DIVIDEND of 1.00,15-06-2020,14-07-2020,13-07-2020,None,None,None,None,None
