,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
1,INDHOTEL,The Indian Hotels Company Limited,EQ,1,Annual General Meeting/Dividend - Rs 0.50 Per Share,17-Jul-2020,,21-Jul-2020,27-Jul-2020
2,SHANKARA,Shankara Building Products Limited,EQ,10,Annual General Meeting,17-Jul-2020,,21-Jul-2020,29-Jul-2020
3,700GS2021,GOI LOAN 7.00% 2021,GS,100,Interest Payment,17-Jul-2020,20-Jul-2020,,
4,SRIPIPES,Srikalahasthi Pipes Limited,EQ,10,Annual General Meeting/Dividend - Rs 7 Per Share,17-Jul-2020,,21-Jul-2020,27-Jul-2020
5,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,EQ,10,Dividend - Rs 20 And Special Dividend - Rs 20 Per Share,17-Jul-2020,20-Jul-2020,,
6,ORIENTHOT,Oriental Hotels Limited,EQ,1,Annual General Meeting/Dividend - Rs 0.20 Per Share,20-Jul-2020,,22-Jul-2020,28-Jul-2020
7,TEJASNET,Tejas Networks Limited,EQ,10,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
8,NEWGEN,Newgen Software Technologies Limited,EQ,10,Annual General Meeting/Dividend - Rs 2 Per Share,20-Jul-2020,21-Jul-2020,,
9,GRAPHITE,Graphite India Limited,EQ,2,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
10,L&TFH,L&T Finance Holdings Limited,EQ,10,Annual General Meeting,20-Jul-2020,,22-Jul-2020,28-Jul-2020
11,VSTIND,VST Industries Limited,EQ,10,Dividend - Rs 103 Per Share,20-Jul-2020,,22-Jul-2020,29-Jul-2020
12,AJANTPHARM,Ajanta Pharma Limited,EQ,2,Annual General Meeting,21-Jul-2020,,23-Jul-2020,30-Jul-2020
13,CHEMFAB,Chemfab Alkalis Limited,EQ,10,Annual General Meeting/Dividend - Rs 1.25 Per Share,21-Jul-2020,,23-Jul-2020,29-Jul-2020
14,PRECAM,Precision Camshafts Limited,EQ,10,Annual General Meeting,21-Jul-2020,,23-Jul-2020,30-Jul-2020
15,VAIBHAVGBL,Vaibhav Global Limited,EQ,10,Annual General Meeting/Dividend - Rs 7 Per Share,21-Jul-2020,,23-Jul-2020,23-Jul-2020
16,HIL,HIL Limited,EQ,10,Annual General Meeting/Dividend - Rs 10 Per Share,21-Jul-2020,22-Jul-2020,,
17,COLPAL,Colgate Palmolive (India) Limited,EQ,1,Annual General Meeting,21-Jul-2020,,23-Jul-2020,29-Jul-2020
18,TTL,T T Limited,EQ,10,Annual General Meeting,21-Jul-2020,,23-Jul-2020,29-Jul-2020
19,GESHIP,The Great Eastern Shipping Company Limited,EQ,10,Annual General Meeting,22-Jul-2020,,24-Jul-2020,30-Jul-2020
20,PHILIPCARB,Phillips Carbon Black Limited,EQ,2,Annual General Meeting,22-Jul-2020,,24-Jul-2020,30-Jul-2020
21,AXISNIFTY,Axis Mutual Fund - AXIS NIFTY ETF,BL,100,Face Value Split (Sub-Division) - From Rs 100/- Per Share To Rs 10/- Per Share,23-Jul-2020,24-Jul-2020,,
22,AXISGOLD,Axis Mutual Fund - Axis Gold ETF,EQ,100,Face Value Split (Sub-Division) - From Rs 100/- Per Share To Re 1/- Per Share,23-Jul-2020,24-Jul-2020,,
23,HINDCON,Hindcon Chemicals Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.90 PER SHARE,17-Aug-2020,,19-Aug-2020,25-Aug-2020
24,SILGO,Silgo Retail Limited,SM,10,ANNUAL GENERAL MEETING,23-Jul-2020,,27-Jul-2020,03-Aug-2020
25,BANKA,Banka BioLoo Limited,SM,10,INTERIM DIVIDEND - RS   0.50 PER SHARE,09-Jul-2020,10-Jul-2020,,
26,HUSYSLTD,Husys Consulting Limited,SM,10,ANNUAL GENERAL MEETING,07-Aug-2020,,11-Aug-2020,17-Aug-2020
27,DEVIT,Dev Information Technology Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND-RE 0.50 PER SHARE,20-Sep-2017,,22-Sep-2017,22-Sep-2017
28,ACEINTEG,Ace Integrated Solutions Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
29,TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,27-Sep-2019
30,HECPROJECT,HEC Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING/ DIVIDEND- RE 1 PER SHARE,21-Sep-2017,,23-Sep-2017,29-Sep-2017
31,CROWN,Crown Lifters Limited,SM,10,ANNUAL GENERAL MEETING,05-Sep-2019,,07-Sep-2019,14-Sep-2019
32,DRL,Dhanuka Realty Limited,SM,10,ANNUAL GENERAL MEETING,20-Jul-2017,,24-Jul-2017,30-Jul-2017
33,GLOBAL,Global Education Limited,SM,10,DIVIDEND- RS 2.50 PER SHARE,26-Jul-2018,27-Jul-2018,,
34,GLOBE,Globe Textiles (India) Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
35,GLOBE,Globe Textiles (India) Limited,SM,10,ANNUAL GENERAL MEETING,20-Aug-2018,,22-Aug-2018,30-Aug-2018
36,SILVERTUC,Silver Touch Technologies Limited,SM,10,INTERIM DIVIDEND - RS 0.50 PER SHARE,23-Mar-2020,25-Mar-2020,,
37,SUMIT,Sumit Woods Limited,SM,10,ANNUAL GENERAL MEETING,27-Jun-2019,,29-Jun-2019,04-Jul-2019
38,SHANTI,Shanti Overseas (India) Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,27-Sep-2019
39,WORTH,Worth Peripherals Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.90 PER SHARE,06-Aug-2019,,08-Aug-2019,14-Aug-2019
40,WORTH,Worth Peripherals Limited,SM,10,ANNUAL GENERAL MEETING,31-Jul-2018,,02-Aug-2018,08-Aug-2018
41,RKEC,RKEC Projects Limited,SM,10,INTERIM DIVIDEND - RE 1/- PER SHARE,22-Nov-2017,23-Nov-2017,,
42,RMDRIP,R M Drip and Sprinklers Systems Limited,SM,10,ANNUAL GENERAL MEETING,16-Sep-2019,,18-Sep-2019,24-Sep-2019
43,VASA,Vasa Retail & Oversea Ltd,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.25 PER SHARE,19-Sep-2019,,21-Sep-2019,28-Sep-2019
44,HITECH,Hi-Tech Pipes Limited,SM,10,DIVIDEND - RE 0.50 PER SHARE,21-Sep-2016,,23-Sep-2016,29-Sep-2016
45,AAKASH,Aakash Exploration Services Limited,SM,10,BONUS 1:2,26-Mar-2020,27-Mar-2020,,
46,CONTI,Continental Seeds and Chemicals Limited,SM,10,BONUS 1:1.5,13-Feb-2020,15-Feb-2020,,
47,ACCURACY,Accuracy Shipping Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,15-Sep-2018,24-Sep-2018
48,AVONMPL,Avon Moldplast Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
49,CREATIVE,Creative Peripherals and Distribution Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.50 PER SHARE,12-Sep-2018,,15-Sep-2018,29-Sep-2018
50,KSHITIJPOL,Kshitij Polyline Limited,SM,10,ANNUAL GENERAL MEETING,29-Aug-2019,,31-Aug-2019,06-Sep-2019
51,RAJMET,Rajnandini Metal Limited,SM,10,ANNUAL GENERAL MEETING,17-Jul-2019,,19-Jul-2019,26-Jul-2019
52,KHFM,Khfm Hospitality And Facility Management Services Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,17-Sep-2019,,19-Sep-2019,25-Sep-2019
53,LIBAS,Libas Designs Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,30-Sep-2017
54,SHRENIK,Shrenik Limited,SM,2,DIVIDEND- RE 1 PER SHARE,30-May-2018,31-May-2018,,
55,REPL,Rudrabhishek Enterprises Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,18-Sep-2019,,20-Sep-2019,26-Sep-2019
56,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,ANNUAL GENERAL MEETING,08-Jul-2019,,10-Jul-2019,13-Jul-2019
57,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,DIVIDEND- RE 1 PER SHARE,23-Aug-2018,,25-Aug-2018,29-Aug-2018
58,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND - RS 5 PER SHARE,08-Aug-2019,,13-Aug-2019,19-Aug-2019
59,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND- RS 4 PER SHARE,10-Aug-2018,,14-Aug-2018,20-Aug-2018
60,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND-RS.5/- PER SHARE,01-Aug-2013,,03-Aug-2013,05-Aug-2013
61,NITIRAJ,Nitiraj Engineers Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,26-Sep-2018
62,NITIRAJ,Nitiraj Engineers Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2017,,22-Sep-2017,28-Sep-2017
63,AIRAN,Airan Limited,SM,2,BONUS 1:1,22-Apr-2019,23-Apr-2019,,
64,AJOONI,Ajooni Biotech Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
65,AARON,Aaron Industries Limited,SM,10,BONUS 1:10,29-Aug-2019,31-Aug-2019,,
66,SUPREMEENG,Supreme Engineering Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,18-Sep-2019,,20-Sep-2019,27-Sep-2019
67,AKG,Akg Exim Limited,SM,10,ANNUAL GENERAL MEETING,06-Sep-2019,,11-Sep-2019,13-Sep-2019
68,MITTAL,Mittal Life Style Limited,SM,10,ANNUAL GENERAL MEETING,05-Sep-2019,,09-Sep-2019,16-Sep-2019
69,SANCO,Sanco Industries Limited,SM,10,ANNUAL GENERAL MEETING,21-Jul-2016,,23-Jul-2016,29-Jul-2016
70,MKPL,M K Proteins Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
71,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,22-Sep-2016,,24-Sep-2016,30-Sep-2016
72,OPAL,Opal Luxury Time Products Limited,SM,10,ANNUAL GENERAL MEETING,22-Sep-2015,,24-Sep-2015,30-Sep-2015
73,MCL,Madhav Copper Limited,SM,10,ANNUAL GENERAL MEETING (BOOK CLOSURE DATE REVISED),28-Jul-2017,,01-Aug-2017,08-Aug-2017
74,SUREVIN,Surevin BPO Services Limied,SM,10,EXTRAORDINARY GENERAL MEETING,11-May-2018,,15-May-2018,21-May-2018
75,PULZ,Pulz Electronics Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,23-Sep-2018,29-Sep-2018
76,SAGARDEEP,Sagardeep Alloys Limited,SM,10,ANNUAL GENERAL MEETING,16-Jul-2018,,18-Jul-2018,25-Jul-2018
77,MHHL,Mohini Health & Hygiene Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
78,GRETEX,Gretex Industries Limited,SM,,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,29-Sep-2018
79,JALAN,Jalan Transolutions (India) Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2017,,21-Sep-2017,26-Sep-2017
80,MOKSH,Moksh Ornaments Limited,SM,10,ANNUAL GENERAL MEETING,23-Jul-2019,,25-Jul-2019,31-Jul-2019
81,PROLIFE,Prolife Industries Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.25 PER SHARE,19-Sep-2018,,23-Sep-2018,29-Sep-2018
82,PROLIFE,Prolife Industries Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.20 PER SHARE(PURPOSE REVISED),15-Sep-2017,,19-Sep-2017,25-Sep-2017
83,DEVIT,Dev Information Technology Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.5 PER SHARE,19-Sep-2018,,22-Sep-2018,23-Sep-2018
84,TIRUPATI,Shree Tirupati Balajee FIBC Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,28-Sep-2018
85,AHIMSA,Ahimsa Industries Limited,SM,10,ANNUAL GENERAL MEETING,06-Jul-2017,07-Jul-2017,,
86,SHAIVAL,Shaival Reality Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
87,SHAIVAL,Shaival Reality Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,28-Sep-2017
88,HECPROJECT,HEC Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 1/- PER SHARE,16-Sep-2016,,20-Sep-2016,24-Sep-2016
89,PERFECT,Perfect Infraengineers Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
90,PERFECT,Perfect Infraengineers Limited,SM,10,ANNUAL GENERAL MEETING,02-Dec-2016,,06-Dec-2016,12-Dec-2016
91,JETKNIT,Jet Knitwears Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,27-Sep-2018
92,SILVERTUC,Silver Touch Technologies Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,11-Sep-2019,12-Sep-2019,,
93,SILVERTUC,Silver Touch Technologies Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.50 PER SHARE,21-Aug-2018,23-Aug-2018,,
94,SUMIT,Sumit Woods Limited,SM,10,BONUS 1:1,16-Jul-2019,17-Jul-2019,,
95,KEERTI,Keerti Knowledge and Skills Limited,SM,10,ANNUAL GENERAL MEETING,14-Sep-2017,,18-Sep-2017,25-Sep-2017
96,SHANTI,Shanti Overseas (India) Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 0.50 PER SHARE,19-Sep-2018,,22-Sep-2018,29-Sep-2018
97,WORTH,Worth Peripherals Limited,SM,10,INTERIM DIVIDEND - RE 0.60 PER SH,04-Dec-2018,05-Dec-2018,,
98,CADSYS,Cadsys (India) Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 1 PER SHARE,18-Sep-2018,,20-Sep-2018,29-Sep-2018
99,FELIX,Felix Industries Limited,SM,10,ANNUAL GENERAL MEETING,13-Sep-2019,,17-Sep-2019,24-Sep-2019
100,BANKA,Banka Bioloo Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
101,MACPOWER,Macpower CNC Machines Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1 PER SHARE,19-Sep-2019,,21-Sep-2019,28-Sep-2019
102,MACPOWER,Macpower CNC Machines Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 1 PER SHARE,12-Sep-2018,,15-Sep-2018,22-Sep-2018
103,MMP,MMP Industries Limited,SM,10,ANNUAL GENERAL MEETING,14-Aug-2018,,18-Aug-2018,31-Aug-2018
104,UCL,Ushanti Colour Chem Limited,SM,10,INTERIM DIVIDEND - RS 0.20 PER SH,31-Oct-2019,01-Nov-2019,,
105,UCL,Ushanti Colour Chem Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,22-Sep-2019,28-Sep-2019
106,POWERFUL,Powerful Technologies Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
107,OSIAHYPER,Osia Hyper Retail Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,30-Sep-2019
108,STEELCITY,Steel City Securities Limited,SM,10,INTERIM DIVIDEND - RE 1 PER SHARE,28-Feb-2019,01-Mar-2019,,
109,ABINFRA,A B Infrabuild Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
110,LIBAS,Libas Designs Limited,SM,10,EXTRA  ORDINARY  GENERAL MEETING,30-Aug-2018,,01-Sep-2018,10-Sep-2018
111,AKASH,Akash Infra-Projects Limited,SM,10,DIVIDEND - RE 1/- PER SHARE,21-Sep-2017,22-Sep-2017,,
112,BSHSL,null,SM,,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,29-Sep-2019
113,REPL,Rudrabhishek Enterprises Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE 0.5 PER SHARE,19-Sep-2018,,22-Sep-2018,28-Sep-2018
114,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,EXTRA ORDINARY GENERAL MEETING,02-Nov-2017,,04-Nov-2017,10-Nov-2017
115,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,ANNUAL GENERAL MEETING,16-Aug-2017,,20-Aug-2017,26-Aug-2017
116,AVSL,AVSL Industries Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,15-Sep-2018,25-Sep-2018
117,EIFFL,Euro India Fresh Foods Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,25-Sep-2018
118,TRANSWIND,Transwind Infrastructures Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
119,AIRAN,Airan Limited,SM,2,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 2/- PER SHARE,14-Aug-2018,17-Aug-2018,,
120,TARACHAND,Tara Chand Logistic Solutions Limited,SM,10,INTERIM DIVIDEND - RS 0.75 PER SHARE,30-Mar-2020,31-Mar-2020,,
121,DPABHUSHAN,D. P. Abhushan Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
122,DPABHUSHAN,D. P. Abhushan Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,15-Sep-2018,22-Sep-2018
123,AARON,Aaron Industries Limited,SM,10,ANNUAL GENERAL MEETING,14-Aug-2019,,18-Aug-2019,24-Aug-2019
124,TOUCHWOOD,Touchwood Entertainment Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 2 PER SHARE,18-Jul-2019,19-Jul-2019,,
125,MITTAL,Mittal Life Style Limited,SM,10,INTERIM DIVIDEND - RE 0.50 PER SHARE (DATE REVISED),03-Dec-2018,04-Dec-2018,,
126,VETO,Veto Switchgears And Cables Limited,SM,10,ANNUAL GENERAL MEETING,02-Aug-2013,,06-Aug-2013,06-Aug-2013
127,SIKKO,Sikko Industries Limited,SM,10,EXTRA ORDINARY GENERAL MEETING,02-May-2019,,04-May-2019,06-May-2019
128,AARVI,Aarvi Encon Limited,SM,10,DIVIDEND - RE 1 PER SHARE,25-Jul-2019,26-Jul-2019,,
129,MOMAI,Momai Apparels Ltd.,SM,10,SCHEME OF AMALGAMATION,19-Dec-2017,20-Dec-2017,,
130,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,INTERIM DIVIDEND - RS 0.40 PER SHARE,19-Mar-2020,20-Mar-2020,,
131,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,13-Aug-2019,,16-Aug-2019,20-Aug-2019
132,EMKAYTOOLS,Emkay Taps and Cutting Tools Limited,SM,10,BONUS 5:1,24-Sep-2018,25-Sep-2018,,
133,MCL,Madhav Copper Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
134,MCL,Madhav Copper Limited,SM,10,ANNUAL GENERAL MEETING,14-Aug-2018,,20-Aug-2018,29-Aug-2018
135,BOHRA,Bohra Industries Limited,SM,10,ANNUAL GENERAL MEETING,24-Oct-2019,,26-Oct-2019,02-Nov-2019
136,AIROLAM,Airo Lam limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,27-Sep-2018
137,SKSTEXTILE,SKS Textiles Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,27-Sep-2018
138,SERVOTECH,Servotech Power Systems Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,23-Sep-2019,29-Sep-2019
139,SECURCRED,SecUR Credentials Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.50 PER SHARE,20-Sep-2019,,24-Sep-2019,30-Sep-2019
140,GRETEX,Gretex Industries Limited,SM,,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
141,ACEINTEG,Ace Integrated Solutions Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2017,,20-Sep-2017,26-Sep-2017
142,INNOVATIVE,Innovative Tyres and Tubes Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2018,,17-Sep-2018,18-Sep-2018
143,AHIMSA,Ahimsa Industries Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,20-Sep-2019,,
144,AHIMSA,Ahimsa Industries Limited,SM,10,ANNUAL GENERAL MEETING,30-Aug-2018,01-Sep-2018,,
145,SHAIVAL,Shaival Reality Limited,SM,10,ANNUAL GENERAL MEETING,30-Aug-2018,,01-Sep-2018,10-Sep-2018
146,HECPROJECT,HEC Infra Projects Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,27-Sep-2019
147,FOURTHDIM,Fourth Dimension Solutions Limited,SM,10,BONUS 1:1,02-Feb-2017,03-Feb-2017,,
148,PERFECT,Perfect Infraengineers Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,22-Sep-2019,29-Sep-2019
149,KKVAPOW,KKV Agro Powers Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 5 PER SHARE,18-Sep-2019,19-Sep-2019,,
150,KKVAPOW,KKV Agro Powers Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 2/- PER SHARE,28-Aug-2017,,30-Aug-2017,05-Sep-2017
151,NANDANI,Nandani Creation Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,26-Sep-2018
152,DRL,Dhanuka Realty Limited,SM,10,BONUS 1:1,09-Jan-2018,10-Jan-2018,,
153,JETFREIGHT,Jet Freight Logistics Limited,SM,10,BONUS 1:1,12-Sep-2018,14-Sep-2018,,
154,GLOBAL,Global Education Limited,SM,10,INTERM DIVIDEND RS 1.50 PER SHARE,30-Mar-2017,31-Mar-2017,,
155,ACCORD,Accord Synergy Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,23-Sep-2018,29-Sep-2018
156,TOTAL,Total Transport Systems Limited,SM,10,ANNUAL GENERAL MEETING,21-Aug-2019,,23-Aug-2019,29-Aug-2019
157,TOTAL,Total Transport Systems Limited,SM,10,EXTRA-ORDINARY GENERAL MEETING,12-Mar-2018,,14-Mar-2018,20-Mar-2018
158,RMDRIP,R M Drip and Sprinklers Systems Limited,SM,10,ANNUAL GENERAL MEETING,24-Aug-2018,,28-Aug-2018,03-Sep-2018
159,GOLDSTAR,Goldstar Power Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,25-Sep-2019
160,GOLDSTAR,Goldstar Power Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,29-Sep-2018
161,ICEMAKE,Ice Make Refrigeration Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND- RE 1 PER SHARE,14-Aug-2018,,18-Aug-2018,25-Aug-2018
162,INNOVANA,Innovana Thinklabs Limited,SM,10,BONUS 3:2,17-Dec-2019,18-Dec-2019,,
163,VERTOZ,Vertoz Advertising Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.10 PER SHARE,20-Sep-2019,,24-Sep-2019,30-Sep-2019
164,SONISOYA,null,SM,,ANNUAL GENERAL MEETING,21-Sep-2018,,25-Sep-2018,28-Sep-2018
165,ACCURACY,Accuracy Shipping Limited,SM,10,INTERIM DIVIDEND- RE 1 PER SHARE,02-Aug-2018,03-Aug-2018,,
166,RPPL,Rajshree Polypack Limited,SM,10,INTERIM DIVIDEND - RE 0.50 PER SHARE,19-Mar-2019,20-Mar-2019,,
167,CREATIVE,Creative Peripherals and Distribution Limited,SM,10,BONUS 1 : 1,25-Jun-2019,26-Jun-2019,,
168,KRITIKA,Kritika Wires Limited,SM,10,EXTRA ORDINARY GENERAL MEETING,13-Feb-2019,,15-Feb-2019,23-Feb-2019
