,symbol,company_name,series,face_value,purpose,ex_date,record_date,bc_start_date,bc_end_date
236,HINDCON,Hindcon Chemicals Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.60 PER SHARE,04-Sep-2019,,06-Sep-2019,12-Sep-2019
237,MITCON,MITCON Consultancy & Engineering Services Limited,SM,,ANNUAL GENERAL MEETING / FINAL DIVIDEND - RE 1/- PER SHARE,31-Jul-2014,,04-Aug-2014,11-Aug-2014
238,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND - RS 3.50/- PER SHARE,23-Jul-2015,,25-Jul-2015,28-Jul-2015
239,THEJO,Thejo Engineering Limited,SM,10,DIVIDEND - RS. 3.50/- PER SHARE,27-Jul-2016,,29-Jul-2016,01-Aug-2016
240,UNITEDPOLY,UNITED POLYFAB GUJARAT LIMITED,SM,10,EXTRAORDINARY GENERAL MEETING,11-Jan-2018,,13-Jan-2018,18-Jan-2018
241,FOCUS,Focus Lighting and Fixtures Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2017,,23-Sep-2017,29-Sep-2017
242,AIRAN,Airan Limited,SM,2,ANNUAL GENERAL MEETING,18-Jul-2018,,20-Jul-2018,28-Jul-2018
243,TIRUPATIFL,Tirupati Forge Limited,SM,10,BONUS 6:10,03-Oct-2019,04-Oct-2019,,
244,MITTAL,Mittal Life Style Limited,SM,10,BONUS 2:3,20-Jun-2019,21-Jun-2019,,
245,SANCO,Sanco Industries Limited,SM,10,ANNUAL GENERAL MEETING,02-Jul-2014,,04-Jul-2014,04-Jul-2014
246,VETO,Veto Switchgears And Cables Limited,SM,10,ANNUAL GENERAL MEETING,11-Jun-2014,,13-Jun-2014,13-Jun-2014
247,MKPL,M K Proteins Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,26-Sep-2019
248,SIKKO,Sikko Industries Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2019,,21-Sep-2019,30-Sep-2019
249,SIKKO,Sikko Industries Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2017,,23-Sep-2017,29-Sep-2017
250,AURDIS,Aurangabad Distillery Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2019,,20-Sep-2019,28-Sep-2019
251,GICL,Globe International Carriers Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
252,MCL,Madhav Copper Limited,SM,10,FACE VALUE SPLIT (SUB-DIVISION) - FROM RS 10/- PER SHARE TO RS 5/- PER SHARE,02-May-2019,04-May-2019,,
253,SUREVIN,Surevin BPO Services Limied,SM,10,ANNUAL GENERAL MEETING,06-Sep-2018,,09-Sep-2018,15-Sep-2018
254,LEXUS,Lexus Granito (India) Limited,SM,10,ANNUAL GENERAL MEETING,21-Sep-2017,,23-Sep-2017,26-Sep-2017
255,MPTODAY,Madhya Pradesh Today Media Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,23-Sep-2018,29-Sep-2018
256,MPTODAY,Madhya Pradesh Today Media Limited,SM,10,INTERIM DIVIDEND- RE 0.50 PER SHARE,14-Aug-2018,17-Aug-2018,,
257,AISL,ANI Integrated Services Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND RE - 0.50 PER SHARE,13-Aug-2018,,15-Aug-2018,21-Aug-2018
258,SKSTEXTILE,SKS Textiles Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
259,NARMADA,null,SM,,BONUS 8:10,25-Feb-2020,26-Feb-2020,,
260,BBTCL,B&B Triplewall Containers Limited,SM,10,ANNUAL GENERAL MEETING,20-Sep-2019,,24-Sep-2019,30-Sep-2019
261,SKML,Sri Krishna Metcom Limited,SM,10,ANNUAL GENERAL MEETING,19-Sep-2018,,22-Sep-2018,28-Sep-2018
262,PANACHE,Panache Digilife Limited,SM,10,DIVIDEND - RS 0.50 PER SHARE,14-Jun-2019,17-Jun-2019,,
263,AMJUMBO,A and M Jumbo Bags Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2018,,19-Sep-2018,26-Sep-2018
264,BABAFOOD,Baba Agro Food Limited,SM,10,ANNUAL GENERAL MEETING,17-Sep-2019,,19-Sep-2019,25-Sep-2019
265,PROLIFE,Prolife Industries Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 0.30 PER SHARE,20-Sep-2019,,24-Sep-2019,30-Sep-2019
266,PROLIFE,Prolife Industries Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,25-Sep-2017
267,WEALTH,Wealth First Portfolio Managers Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RE 0.50 PER SHARE,22-Sep-2016,,24-Sep-2016,30-Sep-2016
268,FOURTHDIM,Fourth Dimension Solutions Limited,SM,10,ANNUAL GENERAL MEETING,15-Sep-2017,,19-Sep-2017,25-Sep-2017
269,JETKNIT,Jet Knitwears Limited,SM,10,ANNUAL GENERAL MEETING,12-Sep-2019,,14-Sep-2019,20-Sep-2019
270,CROWN,Crown Lifters Limited,SM,10,ANNUAL GENERAL MEETING,23-Aug-2018,,25-Aug-2018,01-Sep-2018
271,HUSYSLTD,Husys Consulting Limited,SM,10,ANNUAL GENERAL MEETING,19-Jun-2018,,21-Jun-2018,28-Jun-2018
272,DRL,Dhanuka Realty Limited,SM,10,ANNUAL GENERAL MEETING,25-Jul-2018,,27-Jul-2018,03-Aug-2018
273,JETFREIGHT,Jet Freight Logistics Limited,SM,10,INTERIM DIVIDEND,09-Aug-2018,10-Aug-2018,,
274,JETFREIGHT,Jet Freight Logistics Limited,SM,10,ANNUAL GENERAL MEETING,08-Aug-2017,,10-Aug-2017,12-Aug-2017
275,GLOBAL,Global Education Limited,SM,10,INTERIM DIVIDEND - RS 2.50 PER SHARE,20-Nov-2018,23-Nov-2018,,
276,GLOBAL,Global Education Limited,SM,10,ANNUAL GENERAL MEETING,12-Jul-2018,,14-Jul-2018,27-Jul-2018
277,SHANTI,Shanti Overseas (India) Limited,SM,10,BONUS 1:2,22-Oct-2019,23-Oct-2019,,
278,RELIABLE,Reliable Data Services Limited,SM,10,BONUS 1:5,03-Oct-2019,05-Oct-2019,,
279,FELIX,Felix Industries Limited,SM,10,ANNUAL GENERAL MEETING,18-Sep-2018,,21-Sep-2018,29-Sep-2018
280,ZODIAC,Zodiac Energy Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 2.50 PER SHARE,19-Sep-2019,,21-Sep-2019,30-Sep-2019
281,ICEMAKE,Ice Make Refrigeration Limited,SM,10,ANNUAL GENERAL MEETING/DIVIDEND - RS 1.20 PER SHARE,05-Sep-2019,,08-Sep-2019,14-Sep-2019
282,MACPOWER,Macpower CNC Machines Limited,SM,10,BONUS 2:100,30-Jun-2020,01-Jul-2020,,
